INFO : 05-20 10:12 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	W1: 0.000580811	W2: 7.04756e-07
INFO : 05-20 10:12 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.50101 refreshed and saved!
INFO : 05-20 10:12 : ksdkt/20_05_13_Science_v10_baseline 	| At 10:12 1m 21s passed ( - 25m 39s til 07:08) (100epoch 5.0%)
INFO : 05-20 10:14 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	Train Loss: 0.676344	AUC: 0.524994
INFO : 05-20 10:14 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	Valid Loss: 0.677706	AUC: 0.503891
INFO : 05-20 10:14 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	KSVectorLoss: 0.0289309
INFO : 05-20 10:14 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	W1: 0.000943746	W2: 2.65866e-06
INFO : 05-20 10:14 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.503891 refreshed and saved!
INFO : 05-20 10:14 : ksdkt/20_05_13_Science_v10_baseline 	| At 10:14 2m 42s passed ( - 24m 21s til 13:20) (200epoch 10.0%)
INFO : 05-20 10:15 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 300	Train Loss: 0.669402	AUC: 0.527859
INFO : 05-20 10:15 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 300	Valid Loss: 0.671779	AUC: 0.504147
INFO : 05-20 10:15 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 300	KSVectorLoss: 0.0285303
INFO : 05-20 10:15 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 300	W1: 0.00175665	W2: 1.06636e-05
INFO : 05-20 10:15 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.504661 at epoch 230
INFO : 05-20 10:15 : ksdkt/20_05_13_Science_v10_baseline 	| At 10:15 4m 2s passed ( - 22m 55s til 18:15) (300epoch 15.0%)
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 400	Train Loss: 0.666512	AUC: 0.528834
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 400	Valid Loss: 0.669866	AUC: 0.502927
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 400	KSVectorLoss: 0.0281863
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 400	W1: 0.00258624	W2: 2.29251e-05
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.504661 at epoch 230
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| Early stopping.
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| Loading model /code/output/config/20_05_13_Science_v10_baseline/checkpoints/20200520-1004/f1_best.model
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| test_dl.dataset size: 640
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| Starting test
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| 	Test Loss: 0.674808	AUC: 0.513984
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| 	Test KSV AUC: 0.977195
INFO : 05-20 10:16 : ksdkt/20_05_13_Science_v10_baseline 	| 	W1: 0.00113907	W2: 4.17222e-06
INFO : 05-20 10:17 : ksdkt/20_05_13_Science_v10_baseline 	| RP soft 	 good:bad = 83:95
INFO : 05-20 10:17 : ksdkt/20_05_13_Science_v10_baseline 	| RP hard 	 nDCG = 0.7752±0.1566
INFO : 05-20 10:17 : ksdkt/20_05_13_Science_v10_baseline 	| The model has 525,926 trainable parameters
INFO : 05-20 10:17 : ksdkt/20_05_13_Science_v10_baseline 	| train_dl.dataset size: 2048
INFO : 05-20 10:17 : ksdkt/20_05_13_Science_v10_baseline 	| valid_dl.dataset size: 512
INFO : 05-20 10:17 : ksdkt/20_05_13_Science_v10_baseline 	| Starting train
INFO : 05-20 10:18 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	Train Loss: 0.685211	AUC: 0.511471
INFO : 05-20 10:18 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	Valid Loss: 0.68597	AUC: 0.496769
INFO : 05-20 10:18 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	KSVectorLoss: 0.0292635
INFO : 05-20 10:18 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	W1: 0.00056939	W2: 6.38099e-07
INFO : 05-20 10:18 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.496769 refreshed and saved!
INFO : 05-20 10:18 : ksdkt/20_05_13_Science_v10_baseline 	| At 10:18 1m 20s passed ( - 25m 20s til 00:56) (100epoch 5.0%)
INFO : 05-20 10:20 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	Train Loss: 0.677255	AUC: 0.523552
INFO : 05-20 10:20 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	Valid Loss: 0.678937	AUC: 0.496076
INFO : 05-20 10:20 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	KSVectorLoss: 0.0289708
INFO : 05-20 10:20 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	W1: 0.000896545	W2: 2.27617e-06
INFO : 05-20 10:20 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.496852 at epoch 110
INFO : 05-20 10:20 : ksdkt/20_05_13_Science_v10_baseline 	| At 10:20 2m 39s passed ( - 23m 57s til 18:24) (200epoch 10.0%)
INFO : 05-20 10:21 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 300	Train Loss: 0.669893	AUC: 0.526676
INFO : 05-20 10:21 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 300	Valid Loss: 0.672827	AUC: 0.497218
INFO : 05-20 10:21 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 300	KSVectorLoss: 0.0285636
INFO : 05-20 10:21 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 300	W1: 0.00171079	W2: 9.82475e-06
INFO : 05-20 10:21 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.497273 at epoch 270
INFO : 05-20 10:21 : ksdkt/20_05_13_Science_v10_baseline 	| At 10:21 3m 58s passed ( - 22m 30s til 14:11) (300epoch 15.0%)
INFO : 05-20 10:22 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 400	Train Loss: 0.66662	AUC: 0.528633
